OREX_HUMAN
DFFB_HUMAN
TISB_HUMAN
UTP15_HUMAN
GDC_HUMAN
NAPSA_HUMAN
GGYF1_HUMAN
RNH1_HUMAN
MIS_HUMAN
CTDS2_HUMAN
MT2_HUMAN
SC6A4_HUMAN
DLGP3_HUMAN
STF1_HUMAN
MBD4_HUMAN
LRIF1_HUMAN
LRP4_HUMAN
PEX2_HUMAN
APLP2_HUMAN
TAF12_HUMAN
VMAT1_HUMAN
POPD1_HUMAN
PHIP_HUMAN
KLC3_HUMAN
MTU1_HUMAN
NXT1_HUMAN
BT3A3_HUMAN
